Set,Real,y_pred_decision_tree
Train,1,2.7104825291181363
Train,2,2.60093896713615
Train,2,3.5
Train,4,2.84
Train,6,2.8878504672897196
Train,1,2.5625
Train,1,2.923076923076923
Train,3,2.60093896713615
Train,1,2.84
Train,3,2.5625
Train,1,2.8878504672897196
Train,2,2.60093896713615
Train,1,2.0233644859813085
Train,6,2.7104825291181363
Train,1,2.84
Train,3,2.8878504672897196
Train,4,3.125
Train,1,2.60093896713615
Train,4,2.7104825291181363
Train,3,2.84
Train,5,2.84
Train,2,2.5625
Train,1,2.7104825291181363
Train,1,3.5
Train,2,2.84
Train,0,2.7796052631578947
Train,0,1.5
Train,2,2.5625
Train,3,3.0
Train,0,2.7104825291181363
Train,4,2.7796052631578947
Train,6,2.84
Train,4,2.7
Train,1,2.7796052631578947
Train,4,2.84
Train,1,2.5625
Train,3,2.0233644859813085
Train,2,2.84
Train,6,2.7104825291181363
Train,0,2.923076923076923
Train,0,2.5625
Train,3,2.0233644859813085
Train,3,2.60093896713615
Train,5,2.0233644859813085
Train,3,2.84
Train,1,2.7104825291181363
Train,3,2.5625
Train,2,2.5625
Train,1,2.8878504672897196
Train,6,2.7796052631578947
Train,2,2.5625
Train,0,2.0233644859813085
Train,2,2.7104825291181363
Train,3,2.7104825291181363
Train,4,2.7796052631578947
Train,6,2.7104825291181363
Train,2,2.7796052631578947
Train,3,2.84
Train,1,3.125
Train,2,3.736842105263158
Train,4,2.60093896713615
Train,3,2.7796052631578947
Train,3,2.7796052631578947
Train,4,3.736842105263158
Train,2,2.84
Train,5,3.736842105263158
Train,4,2.7104825291181363
Train,6,2.84
Train,2,2.923076923076923
Train,4,2.7796052631578947
Train,0,2.7796052631578947
Train,3,2.7104825291181363
Train,2,2.7796052631578947
Train,5,2.0233644859813085
Train,3,2.7
Train,3,2.0233644859813085
Train,0,2.7104825291181363
Train,1,2.84
Train,3,2.7796052631578947
Train,1,2.8878504672897196
Train,4,2.5625
Train,2,2.670886075949367
Train,2,2.7104825291181363
Train,1,2.84
Train,3,2.84
Train,6,2.84
Train,2,2.7796052631578947
Train,4,2.8878504672897196
Train,2,2.7796052631578947
Train,6,2.923076923076923
Train,3,2.5625
Train,4,2.7104825291181363
Train,1,2.7796052631578947
Train,2,2.7104825291181363
Train,0,2.5625
Train,2,3.125
Train,0,2.7796052631578947
Train,1,2.60093896713615
Train,4,2.7796052631578947
Train,6,3.736842105263158
Train,1,2.7104825291181363
Train,5,2.7796052631578947
Train,2,1.0
Train,3,2.7796052631578947
Train,5,2.7796052631578947
Train,3,2.7796052631578947
Train,5,2.5625
Train,3,2.8878504672897196
Train,0,2.84
Train,3,2.60093896713615
Train,6,2.84
Train,4,2.7104825291181363
Train,3,2.7796052631578947
Train,3,2.84
Train,3,2.7796052631578947
Train,1,2.413793103448276
Train,2,2.84
Train,2,2.413793103448276
Train,2,2.60093896713615
Train,5,2.7104825291181363
Train,0,2.923076923076923
Train,2,2.8878504672897196
Train,3,2.7796052631578947
Train,5,2.7104825291181363
Train,4,2.7104825291181363
Train,2,2.5625
Train,2,2.670886075949367
Train,0,2.5625
Train,3,2.7104825291181363
Train,4,2.60093896713615
Train,3,2.670886075949367
Train,0,2.670886075949367
Train,0,2.0233644859813085
Train,4,2.84
Train,3,2.7104825291181363
Train,2,2.84
Train,2,2.5625
Train,6,2.5625
Train,1,2.5625
Train,3,2.84
Train,3,2.7104825291181363
Train,2,2.8878504672897196
Train,6,2.5625
Train,1,2.5625
Train,4,2.7104825291181363
Train,3,2.84
Train,6,2.7104825291181363
Train,4,2.7796052631578947
Train,2,2.0233644859813085
Train,1,2.0233644859813085
Train,2,2.7796052631578947
Train,2,2.8878504672897196
Train,1,2.60093896713615
Train,3,2.670886075949367
Train,2,2.60093896713615
Train,2,2.5625
Train,2,2.7796052631578947
Train,0,2.7104825291181363
Train,6,2.84
Train,0,2.7796052631578947
Train,6,2.7104825291181363
Train,3,2.5625
Train,5,2.5625
Train,3,2.7104825291181363
Train,5,2.7104825291181363
Train,6,2.84
Train,0,2.7104825291181363
Train,0,2.7796052631578947
Train,4,2.0233644859813085
Train,5,2.7796052631578947
Train,1,2.7104825291181363
Train,3,2.84
Train,6,2.7104825291181363
Train,5,2.7104825291181363
Train,2,2.7104825291181363
Train,2,2.7796052631578947
Train,6,2.84
Train,4,2.5625
Train,4,2.7104825291181363
Train,6,2.84
Train,2,2.84
Train,6,2.5625
Train,0,2.413793103448276
Train,1,2.84
Train,4,2.7796052631578947
Train,1,2.7104825291181363
Train,3,2.7796052631578947
Train,3,2.7104825291181363
Train,5,2.7104825291181363
Train,0,2.60093896713615
Train,6,2.7796052631578947
Train,1,2.84
Train,1,2.8878504672897196
Train,4,2.60093896713615
Train,4,2.7796052631578947
Train,0,2.7104825291181363
Train,6,3.125
Train,4,2.5625
Train,3,2.5625
Train,0,2.5625
Train,2,2.7796052631578947
Train,3,2.5625
Train,3,2.7104825291181363
Train,0,3.125
Train,1,2.5625
Train,0,2.84
Train,1,2.60093896713615
Train,0,2.60093896713615
Train,6,2.7104825291181363
Train,3,2.84
Train,5,2.84
Train,1,2.7104825291181363
Train,0,2.670886075949367
Train,5,2.7796052631578947
Train,2,2.8878504672897196
Train,1,2.7796052631578947
Train,5,2.7796052631578947
Train,4,2.84
Train,2,2.7104825291181363
Train,4,2.7104825291181363
Train,2,2.7796052631578947
Train,0,2.60093896713615
Train,4,2.60093896713615
Train,1,2.84
Train,1,2.7104825291181363
Train,4,2.84
Train,1,2.670886075949367
Train,6,2.84
Train,2,2.0233644859813085
Train,4,2.7104825291181363
Train,0,2.7796052631578947
Train,6,2.5625
Train,4,2.923076923076923
Train,1,1.875
Train,4,2.7796052631578947
Train,4,2.84
Train,1,2.7796052631578947
Train,5,2.84
Train,5,2.7104825291181363
Train,0,2.0233644859813085
Train,2,2.84
Train,2,2.7796052631578947
Train,1,2.413793103448276
Train,2,2.84
Train,2,2.5625
Train,0,2.7104825291181363
Train,2,2.7796052631578947
Train,5,2.7104825291181363
Train,3,2.7796052631578947
Train,2,2.7104825291181363
Train,0,2.0233644859813085
Train,1,2.84
Train,1,2.84
Train,5,3.125
Train,0,2.7796052631578947
Train,5,2.0233644859813085
Train,1,2.7796052631578947
Train,3,2.7796052631578947
Train,3,2.7796052631578947
Train,3,2.7104825291181363
Train,5,2.7796052631578947
Train,1,2.60093896713615
Train,3,2.7104825291181363
Train,4,2.7796052631578947
Train,1,2.923076923076923
Train,5,2.84
Train,6,3.125
Train,1,2.923076923076923
Train,2,2.5625
Train,2,2.84
Train,2,2.0233644859813085
Train,3,2.923076923076923
Train,6,4.0
Train,3,2.7796052631578947
Train,0,3.5714285714285716
Train,1,2.413793103448276
Train,1,2.7104825291181363
Train,3,2.84
Train,0,2.7104825291181363
Train,1,2.7104825291181363
Train,0,2.8878504672897196
Train,0,2.60093896713615
Train,1,2.7796052631578947
Train,4,2.7104825291181363
Train,1,2.5625
Train,1,2.84
Train,1,2.7104825291181363
Train,1,2.84
Train,5,2.7104825291181363
Train,3,2.923076923076923
Train,2,2.0233644859813085
Train,5,2.5625
Train,3,2.7104825291181363
Train,3,3.125
Train,1,1.0
Train,1,2.60093896713615
Train,0,2.60093896713615
Train,2,2.7104825291181363
Train,0,1.4285714285714286
Train,3,2.670886075949367
Train,3,2.84
Train,0,2.7796052631578947
Train,0,2.84
Train,3,2.923076923076923
Train,0,2.0233644859813085
Train,5,2.7796052631578947
Train,3,2.670886075949367
Train,3,1.6
Train,1,2.7796052631578947
Train,6,2.5625
Train,1,2.7104825291181363
Train,5,2.0233644859813085
Train,2,2.5625
Train,1,2.7796052631578947
Train,0,2.7796052631578947
Train,5,2.84
Train,3,2.84
Train,1,2.5625
Train,4,2.60093896713615
Train,0,2.7796052631578947
Train,1,2.5625
Train,2,2.8878504672897196
Train,5,2.5625
Train,2,2.84
Train,0,2.7104825291181363
Train,3,2.5625
Train,1,2.7796052631578947
Train,1,2.413793103448276
Train,1,2.7796052631578947
Train,0,2.84
Train,1,2.60093896713615
Train,2,2.5625
Train,2,2.0233644859813085
Train,2,2.0233644859813085
Train,2,2.8878504672897196
Train,4,2.5625
Train,0,2.413793103448276
Train,6,2.7104825291181363
Train,2,2.7104825291181363
Train,1,2.7104825291181363
Train,4,2.7796052631578947
Train,2,2.7796052631578947
Train,1,2.7104825291181363
Train,6,3.5
Train,4,2.84
Train,5,2.7796052631578947
Train,6,2.8878504672897196
Train,3,2.7104825291181363
Train,1,2.60093896713615
Train,6,2.84
Train,5,2.7104825291181363
Train,2,0.875
Train,4,2.7796052631578947
Train,5,2.413793103448276
Train,4,2.7796052631578947
Train,2,2.7796052631578947
Train,0,2.84
Train,5,2.7104825291181363
Train,1,2.7104825291181363
Train,1,2.0233644859813085
Train,4,2.5625
Train,4,2.7796052631578947
Train,4,2.84
Train,3,2.84
Train,4,2.8878504672897196
Train,3,2.0233644859813085
Train,2,2.7104825291181363
Train,2,2.7796052631578947
Train,2,1.2
Train,5,2.60093896713615
Train,2,2.7104825291181363
Train,2,2.0233644859813085
Train,3,2.5625
Train,4,2.8878504672897196
Train,5,2.7104825291181363
Train,3,2.7796052631578947
Train,3,2.5625
Train,6,2.5625
Train,5,2.84
Train,2,2.7104825291181363
Train,5,2.7796052631578947
Train,0,2.0233644859813085
Train,1,2.60093896713615
Train,4,2.7104825291181363
Train,0,2.923076923076923
Train,2,2.413793103448276
Train,1,2.7104825291181363
Train,6,2.84
Train,4,2.84
Train,1,2.7796052631578947
Train,1,2.7104825291181363
Train,4,2.84
Train,1,2.60093896713615
Train,4,2.84
Train,0,2.0233644859813085
Train,5,2.84
Train,5,2.84
Train,2,2.7104825291181363
Train,3,3.0
Train,0,2.7796052631578947
Train,3,2.60093896713615
Train,6,2.7104825291181363
Train,0,2.7796052631578947
Train,2,2.7104825291181363
Train,0,2.7104825291181363
Train,6,2.8878504672897196
Train,5,2.5625
Train,2,2.7104825291181363
Train,4,2.60093896713615
Train,6,2.923076923076923
Train,3,2.923076923076923
Train,4,2.7104825291181363
Train,6,2.60093896713615
Train,2,1.4285714285714286
Train,2,2.7796052631578947
Train,6,2.7104825291181363
Train,1,2.60093896713615
Train,1,2.8878504672897196
Train,1,2.5625
Train,6,2.7104825291181363
Train,0,2.84
Train,1,2.84
Train,0,2.7104825291181363
Train,2,2.7104825291181363
Train,1,2.5625
Train,0,2.7796052631578947
Train,4,2.84
Train,5,2.670886075949367
Train,2,2.8878504672897196
Train,2,2.7796052631578947
Train,2,2.7104825291181363
Train,0,2.7104825291181363
Train,0,0.875
Train,1,2.60093896713615
Train,2,2.7796052631578947
Train,0,1.4285714285714286
Train,4,2.7104825291181363
Train,2,2.670886075949367
Train,5,2.84
Train,0,2.84
Train,5,2.5625
Train,4,2.5625
Train,1,2.84
Train,1,2.7796052631578947
Train,3,2.84
Train,6,3.736842105263158
Train,1,2.923076923076923
Train,5,2.7104825291181363
Train,3,2.60093896713615
Train,4,2.413793103448276
Train,2,2.5625
Train,3,2.7104825291181363
Train,4,2.7104825291181363
Train,4,2.84
Train,1,2.5625
Train,5,2.60093896713615
Train,2,2.60093896713615
Train,5,2.84
Train,0,2.7796052631578947
Train,5,2.84
Train,1,2.8878504672897196
Train,5,2.5625
Train,4,2.0233644859813085
Train,4,2.84
Train,1,2.670886075949367
Train,6,2.5625
Train,4,3.5
Train,0,2.0233644859813085
Train,1,2.7796052631578947
Train,2,2.7796052631578947
Train,1,2.7796052631578947
Train,1,2.5625
Train,2,2.7796052631578947
Train,2,2.7796052631578947
Train,2,2.7796052631578947
Train,3,3.0
Train,2,2.5625
Train,1,2.670886075949367
Train,1,2.84
Train,2,2.0233644859813085
Train,3,2.7104825291181363
Train,2,2.7796052631578947
Train,2,2.7796052631578947
Train,3,2.5625
Train,3,2.0233644859813085
Train,1,2.84
Train,1,2.7104825291181363
Train,5,2.7104825291181363
Train,6,3.5
Train,3,2.60093896713615
Train,4,2.7104825291181363
Train,4,2.5625
Train,3,2.0233644859813085
Train,0,2.7796052631578947
Train,2,2.7796052631578947
Train,4,2.7104825291181363
Train,6,2.7796052631578947
Train,4,2.7104825291181363
Train,2,2.5625
Train,1,2.7796052631578947
Train,0,2.5625
Train,2,2.7796052631578947
Train,0,2.0233644859813085
Train,4,3.736842105263158
Train,6,2.0233644859813085
Train,3,2.7104825291181363
Train,0,0.0
Train,2,2.60093896713615
Train,3,2.7796052631578947
Train,0,2.60093896713615
Train,4,2.0233644859813085
Train,0,2.5625
Train,1,2.7104825291181363
Train,3,2.5625
Train,4,2.84
Train,2,2.7104825291181363
Train,5,2.84
Train,6,2.7104825291181363
Train,0,2.7104825291181363
Train,6,2.7796052631578947
Train,0,1.875
Train,2,2.7796052631578947
Train,2,2.670886075949367
Train,0,2.84
Train,0,2.7104825291181363
Train,3,2.7796052631578947
Train,2,2.7104825291181363
Train,0,2.7
Train,2,2.84
Train,5,2.7104825291181363
Train,1,2.7796052631578947
Train,5,2.60093896713615
Train,6,2.84
Train,5,2.0233644859813085
Train,2,2.60093896713615
Train,2,2.0233644859813085
Train,0,2.7796052631578947
Train,0,2.7796052631578947
Train,4,2.84
Train,1,2.0233644859813085
Train,5,2.84
Train,6,2.7796052631578947
Train,1,2.7104825291181363
Train,1,2.5625
Train,4,2.7796052631578947
Train,2,2.7104825291181363
Train,1,2.84
Train,2,2.7104825291181363
Train,0,2.0233644859813085
Train,2,2.8878504672897196
Train,5,2.84
Train,3,2.84
Train,5,2.60093896713615
Train,6,2.7796052631578947
Train,2,2.7796052631578947
Train,3,2.7104825291181363
Train,1,2.7796052631578947
Train,3,2.84
Train,2,2.60093896713615
Train,3,2.7796052631578947
Train,3,2.84
Train,5,2.7796052631578947
Train,3,2.7796052631578947
Train,2,3.125
Train,2,2.84
Train,0,2.7796052631578947
Train,4,2.7104825291181363
Train,0,2.923076923076923
Train,3,2.7104825291181363
Train,6,2.7796052631578947
Train,6,2.7796052631578947
Train,4,2.5625
Train,1,2.7104825291181363
Train,0,2.60093896713615
Train,5,2.670886075949367
Train,3,2.7104825291181363
Train,6,2.7104825291181363
Train,4,2.60093896713615
Train,1,2.8878504672897196
Train,3,2.8878504672897196
Train,5,2.7104825291181363
Train,5,2.0233644859813085
Train,0,2.0233644859813085
Train,1,2.84
Train,4,2.0233644859813085
Train,1,2.0233644859813085
Train,1,2.8878504672897196
Train,2,1.2
Train,2,2.8878504672897196
Train,4,2.923076923076923
Train,2,2.84
Train,0,2.84
Train,4,3.125
Train,2,3.125
Train,2,2.5625
Train,4,2.5625
Train,1,2.84
Train,0,2.7104825291181363
Train,4,2.7104825291181363
Train,2,2.7104825291181363
Train,0,2.0233644859813085
Train,3,2.7104825291181363
Train,2,2.7796052631578947
Train,0,0.0
Train,2,2.7104825291181363
Train,0,2.84
Train,1,2.7104825291181363
Train,2,2.5625
Train,2,2.60093896713615
Train,2,2.7104825291181363
Train,4,2.84
Train,1,2.60093896713615
Train,5,3.125
Train,3,2.7796052631578947
Train,1,2.7104825291181363
Train,6,2.5625
Train,6,2.7796052631578947
Train,4,2.5625
Train,4,2.7104825291181363
Train,5,2.84
Train,5,2.923076923076923
Train,0,2.60093896713615
Train,4,2.7104825291181363
Train,3,2.7796052631578947
Train,6,2.7796052631578947
Train,6,2.84
Train,3,3.0
Train,1,2.1666666666666665
Train,5,2.5625
Train,1,2.7104825291181363
Train,1,2.7104825291181363
Train,0,2.5625
Train,3,2.7796052631578947
Train,3,2.5625
Train,2,2.5625
Train,0,2.84
Train,1,2.60093896713615
Train,5,2.5625
Train,1,2.5625
Train,5,2.5625
Train,3,2.7104825291181363
Train,5,2.84
Train,3,2.7104825291181363
Train,5,2.5625
Train,3,2.5625
Train,2,2.7104825291181363
Train,3,2.0233644859813085
Train,4,3.125
Train,4,3.736842105263158
Train,4,2.84
Train,4,2.7104825291181363
Train,0,2.5625
Train,1,2.5625
Train,5,2.8878504672897196
Train,1,2.5625
Train,1,2.7104825291181363
Train,3,2.7104825291181363
Train,2,2.84
Train,0,2.670886075949367
Train,0,2.7104825291181363
Train,2,2.60093896713615
Train,1,2.84
Train,4,2.7796052631578947
Train,3,3.5714285714285716
Train,6,2.5625
Train,2,2.8878504672897196
Train,1,2.7104825291181363
Train,1,2.7104825291181363
Train,5,2.60093896713615
Train,1,2.7796052631578947
Train,2,2.7796052631578947
Train,3,2.7796052631578947
Train,1,2.7796052631578947
Train,1,2.7104825291181363
Train,1,2.0233644859813085
Train,1,2.7104825291181363
Train,4,2.84
Train,3,2.5625
Train,3,2.84
Train,1,2.60093896713615
Train,6,2.7796052631578947
Train,6,2.7796052631578947
Train,2,2.0233644859813085
Train,2,2.7104825291181363
Train,0,2.5625
Train,0,2.7796052631578947
Train,6,3.5
Train,0,2.1333333333333333
Train,4,2.0233644859813085
Train,5,2.7104825291181363
Train,6,2.923076923076923
Train,3,2.5625
Train,1,2.670886075949367
Train,3,2.7104825291181363
Train,4,2.5625
Train,4,2.7104825291181363
Train,1,2.60093896713615
Train,6,2.84
Train,5,2.84
Train,2,2.60093896713615
Train,0,2.84
Train,3,2.84
Train,4,4.0
Train,2,2.7796052631578947
Train,4,2.84
Train,1,2.0233644859813085
Train,1,2.7796052631578947
Train,0,1.5
Train,2,2.7796052631578947
Train,4,2.84
Train,1,2.8878504672897196
Train,3,2.0233644859813085
Train,2,2.923076923076923
Train,1,2.60093896713615
Train,1,2.7796052631578947
Train,1,2.7796052631578947
Train,4,2.60093896713615
Train,3,2.84
Train,2,2.7796052631578947
Train,5,2.84
Train,6,2.7796052631578947
Train,1,2.84
Train,0,2.7796052631578947
Train,2,2.7796052631578947
Train,3,2.5625
Train,6,2.7104825291181363
Train,1,2.84
Train,4,2.84
Train,3,2.84
Train,1,2.5625
Train,4,2.7104825291181363
Train,4,3.736842105263158
Train,2,2.5625
Train,4,2.7104825291181363
Train,1,2.7104825291181363
Train,1,2.84
Train,1,2.7104825291181363
Train,1,2.7104825291181363
Train,1,2.7796052631578947
Train,2,2.7796052631578947
Train,2,2.7104825291181363
Train,4,2.7796052631578947
Train,4,2.7796052631578947
Train,5,2.7796052631578947
Train,1,2.7796052631578947
Train,3,2.7796052631578947
Train,2,2.84
Train,6,2.7104825291181363
Train,1,2.8878504672897196
Train,4,2.84
Train,1,2.5625
Train,3,2.0233644859813085
Train,0,2.5625
Train,6,2.60093896713615
Train,4,2.7104825291181363
Train,0,2.5625
Train,0,2.7796052631578947
Train,4,2.8878504672897196
Train,2,2.7104825291181363
Train,4,2.7104825291181363
Train,3,2.7796052631578947
Train,3,2.670886075949367
Train,5,2.7796052631578947
Train,0,2.84
Train,4,2.84
Train,6,4.0
Train,1,2.7796052631578947
Train,1,2.7104825291181363
Train,3,2.84
Train,5,2.84
Train,0,2.7104825291181363
Train,1,2.7104825291181363
Train,4,2.84
Train,4,2.7104825291181363
Train,0,2.0233644859813085
Train,5,2.5625
Train,2,2.5625
Train,4,2.670886075949367
Train,1,2.0233644859813085
Train,1,2.5625
Train,5,2.7796052631578947
Train,6,2.413793103448276
Train,0,2.5625
Train,0,2.0233644859813085
Train,6,2.8878504672897196
Train,3,2.7796052631578947
Train,6,2.5625
Train,5,2.7796052631578947
Train,4,2.7796052631578947
Train,3,2.7796052631578947
Train,4,2.60093896713615
Train,3,2.0233644859813085
Train,4,2.5625
Train,5,2.5625
Train,1,2.7
Train,4,2.7796052631578947
Train,5,2.7104825291181363
Train,4,2.84
Train,4,2.0233644859813085
Train,1,2.60093896713615
Train,4,2.7104825291181363
Train,0,2.0233644859813085
Train,3,2.7796052631578947
Train,2,2.60093896713615
Train,2,2.7104825291181363
Train,0,2.7796052631578947
Train,4,2.7796052631578947
Train,5,2.670886075949367
Train,4,2.7104825291181363
Train,1,2.7104825291181363
Train,0,2.0233644859813085
Train,3,2.7104825291181363
Train,2,2.7796052631578947
Train,1,2.7104825291181363
Train,4,2.7796052631578947
Train,1,2.5625
Train,3,2.7796052631578947
Train,2,2.5625
Train,6,2.7104825291181363
Train,3,2.60093896713615
Train,3,2.8878504672897196
Train,0,2.0233644859813085
Train,5,2.60093896713615
Train,1,2.0233644859813085
Train,4,3.736842105263158
Train,4,2.84
Train,2,2.7796052631578947
Train,4,2.0233644859813085
Train,2,2.7104825291181363
Train,0,2.0233644859813085
Train,1,2.7796052631578947
Train,2,3.125
Train,1,2.7104825291181363
Train,4,2.7796052631578947
Train,6,2.84
Train,1,1.2
Train,6,2.8878504672897196
Train,2,2.7104825291181363
Train,3,2.8878504672897196
Train,2,2.84
Train,3,2.60093896713615
Train,1,2.5625
Train,3,2.7104825291181363
Train,3,2.5625
Train,3,2.84
Train,5,2.7104825291181363
Train,6,2.7104825291181363
Train,3,2.8878504672897196
Train,3,2.84
Train,3,2.0233644859813085
Train,6,2.60093896713615
Train,6,2.7796052631578947
Train,1,2.84
Train,2,2.5625
Train,5,2.60093896713615
Train,1,2.60093896713615
Train,3,2.84
Train,5,2.5625
Train,4,2.84
Train,4,2.60093896713615
Train,6,2.7104825291181363
Train,1,2.5625
Train,0,2.5625
Train,5,2.5625
Train,3,2.7796052631578947
Train,1,2.7796052631578947
Train,6,2.7104825291181363
Train,1,2.7796052631578947
Train,1,2.0233644859813085
Train,1,1.0
Train,6,2.7796052631578947
Train,1,2.7796052631578947
Train,0,2.7796052631578947
Train,5,2.7104825291181363
Train,2,2.7104825291181363
Train,2,2.8878504672897196
Train,2,2.7796052631578947
Train,3,2.7104825291181363
Train,5,2.7796052631578947
Train,3,2.7
Train,6,2.84
Train,4,2.84
Train,6,2.7796052631578947
Train,1,2.7104825291181363
Train,1,2.84
Train,6,2.84
Train,1,2.5625
Train,5,2.84
Train,5,2.7796052631578947
Train,4,2.7796052631578947
Train,1,2.0233644859813085
Train,2,2.7104825291181363
Train,3,2.7796052631578947
Train,1,2.5625
Train,6,2.7796052631578947
Train,1,2.5625
Train,2,2.7796052631578947
Train,4,2.923076923076923
Train,0,2.0233644859813085
Train,5,2.7104825291181363
Train,4,2.7796052631578947
Train,0,2.84
Train,2,2.84
Train,0,2.0233644859813085
Train,1,3.736842105263158
Train,3,2.7796052631578947
Train,2,2.84
Train,2,2.7796052631578947
Train,3,2.7104825291181363
Train,0,2.5625
Train,2,2.7796052631578947
Train,2,2.84
Train,1,2.7796052631578947
Train,1,2.7104825291181363
Train,2,2.923076923076923
Train,0,2.7796052631578947
Train,5,2.670886075949367
Train,4,2.7796052631578947
Train,3,2.5625
Train,5,2.413793103448276
Train,3,2.84
Train,3,2.7796052631578947
Train,3,2.84
Train,0,2.7796052631578947
Train,2,2.7796052631578947
Train,0,2.7104825291181363
Train,5,2.7104825291181363
Train,4,2.5625
Train,1,2.923076923076923
